Country Name,TimePeriod,Indicator,Subgroup,DataValue
India,2016-17,1.4.2: Number of telephone subscriptions as percentage of total population,Total,93.01
India,2017-18,1.4.2: Number of telephone subscriptions as percentage of total population,Total,93.27
India,2018-19,1.4.2: Number of telephone subscriptions as percentage of total population,Total,90.1
India,2019-20,1.4.2: Number of telephone subscriptions as percentage of total population,Total,88.74
India,2015,"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 13.1.1)",Total,14743.14
India,2016,"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 13.1.1)",Total,13706.39
India,2017,"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 13.1.1)",Total,13381.24
India,2018,"1.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 13.1.1)",Total,10738.97
India,2015,"1.5.3: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 11.b.1 and 13.1.2",Total,0.25
India,2018,"1.5.3: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 11.b.1 and 13.1.2",Total,0.93
India,2019,"1.5.3: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 11.b.1 and 13.1.2",Total,1
India,2015,1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with na-tional disaster risk reduction strategies (similar to 11.b.2 and 13.1.3),Total,0.901
India,2018,1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with na-tional disaster risk reduction strategies (similar to 11.b.2 and 13.1.3),Total,0.932
India,2019,1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with na-tional disaster risk reduction strategies (similar to 11.b.2 and 13.1.3),Total,0.931
India,2020,1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with na-tional disaster risk reduction strategies (similar to 11.b.2 and 13.1.3),Total,0.919
India,2015-16,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,29.87
India,2016-17,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,30.23
India,2017-18,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,29.7
India,2018-19,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,30.23
India,2019-20,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,30.31
India,2015-16,1.b.1: Proportion of budget earmarked under gender budget,Total,4.46
India,2016-17,1.b.1: Proportion of budget earmarked under gender budget,Total,4.58
India,2017-18,1.b.1: Proportion of budget earmarked under gender budget,Total,5.68
India,2018-19,1.b.1: Proportion of budget earmarked under gender budget,Total,4.99
India,2019-20,1.b.1: Proportion of budget earmarked under gender budget,Total,4.91
India,2020-21,1.b.1: Proportion of budget earmarked under gender budget,Total,4.72
India,2021-22,1.b.1: Proportion of budget earmarked under gender budget,Total,4.4
India,2011-12,10.1.1: Growth rates of household expenditure per capita among the bottom 40 per cent of the population and the total population,Rural,13.61
India,2011-12,10.1.1: Growth rates of household expenditure per capita among the bottom 40 per cent of the population and the total population,Urban,13.35
India,2011-12,10.1.2: Gini Coefficient of Household Expenditure,Rural,0.283
India,2011-12,10.1.2: Gini Coefficient of Household Expenditure,Urban,0.363
India,2011-12,10.2.1: Percentage of people living below 50 per cent of median per capita household expenditure,Rural,4.28
India,2011-12,10.2.1: Percentage of people living below 50 per cent of median per capita household expenditure,Urban,10.89
India,2014,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Lok Sabha,11.42
India,2019,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Lok Sabha,14.36
India,2014,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Rajya Sabha,12.76
India,2016,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Rajya Sabha,11.07
India,2018,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Rajya Sabha,11.48
India,2020,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Rajya Sabha,10.33
India,2014,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",PRI,46.14
India,2019,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",PRI,44.37
India,2014,10.2.3: Proportion of SC/ST persons in Elected bodies (similar to 16.7.2),SCs,15.5
India,2019,10.2.3: Proportion of SC/ST persons in Elected bodies (similar to 16.7.2),SCs,15.5
India,2014,10.2.3: Proportion of SC/ST persons in Elected bodies (similar to 16.7.2),STs,8.7
India,2019,10.2.3: Proportion of SC/ST persons in Elected bodies (similar to 16.7.2),STs,8.67
India,2015-16,10.4.1: Labour Share of GDP,Total,30.23
India,2016-17,10.4.1: Labour Share of GDP,Total,30.49
India,2017-18,10.4.1: Labour Share of GDP,Total,30.87
India,2018-19,10.4.1: Labour Share of GDP,Total,31.27
India,2019-20,10.4.1: Labour Share of GDP,Total,31.76
India,2015-16,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.66
India,2016-17,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.62
India,2017-18,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.92
India,2018-19,10.4.2: Percentage of budget allocated to North Eastern States,Total,2.03
India,2019-20,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.99
India,2020-21,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.48
India,2021-22,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.99
India,2015-16,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,2.89
India,2016-17,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,2.83
India,2017-18,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,3.81
India,2018-19,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,3.94
India,2019-20,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,4.18
India,2020-21,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,3.92
India,2021-22,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,6.04
India,2021,10.6.1: Whether the country is a member and has voting rights in international organizations (similar to 16.8.1),Membership (Out of 11 international organizations),9
India,2021,10.6.1: Whether the country is a member and has voting rights in international organizations (similar to 16.8.1),Voting Rights (Out of 11 international organizations),6
India,2015,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,1.43
India,2016,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,1.43
India,2017,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,1.43
India,2018,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,2.14
India,2019,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,2.14
India,2020,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,2.14
India,2016-17,10.c.1: Remittance costs as a proportion of the amount remitted,Sending-Direct Transfer to Bank Account/Electronic Wire,0-6.7
India,2016-17,10.c.1: Remittance costs as a proportion of the amount remitted,Sending- SWIFT,0 - 21.3
India,2016-17,10.c.1: Remittance costs as a proportion of the amount remitted,Receiving-Direct Transfer to Bank Account/Electronic Wire,0 - 1.5
India,2016-17,10.c.1: Remittance costs as a proportion of the amount remitted,Receiving- SWIFT,0.5 - 4.4
India,2015,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.81
India,2016,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.92
India,2017,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.65
India,2018,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.54
India,2019,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.42
India,2015,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,38.31
India,2016,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,38.11
India,2017,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,35.41
India,2018,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,33.74
India,2019,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,33.38
India,2015,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,25.61
India,2016,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,33.17
India,2017,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,34.51
India,2018,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,34.93
India,2019,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,34.93
India,2020,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,35.84
India,2016-17,"11.4.1: Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage",Total,2.32
India,2017-18,"11.4.1: Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage",Total,3.13
India,2018-19,"11.4.1: Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage",Total,3.05
India,2019-20,"11.4.1: Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage",Total,3.03
India,2015,"11.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 1.5.1 and 13.1.1)",Total,14743.14
India,2016,"11.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 1.5.1 and 13.1.1)",Total,13706.39
India,2017,"11.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 1.5.1 and 13.1.1)",Total,13381.24
India,2018,"11.5.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 1.5.1 and 13.1.1)",Total,10738.97
India,2016,11.6.1: Percentage of Waste processed,Total,17.97
India,2017,11.6.1: Percentage of Waste processed,Total,23.14
India,2018,11.6.1: Percentage of Waste processed,Total,28.57
India,2019,11.6.1: Percentage of Waste processed,Total,53
India,2020,11.6.1: Percentage of Waste processed,Total,65
India,2016,11.6.4: Percentage of wards with 100% door to door waste collection,Total,43
India,2017,11.6.4: Percentage of wards with 100% door to door waste collection,Total,53
India,2018,11.6.4: Percentage of wards with 100% door to door waste collection,Total,74
India,2019,11.6.4: Percentage of wards with 100% door to door waste collection,Total,74
India,2020,11.6.4: Percentage of wards with 100% door to door waste collection,Total,96
India,2015,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,25.61
India,2016,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,33.17
India,2017,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,34.51
India,2018,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,34.93
India,2019,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,34.93
India,2020,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,35.84
India,2015,"11.b.1: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 13.1.2)",Total,0.25
India,2018,"11.b.1: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 13.1.2)",Total,0.93
India,2019,"11.b.1: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 13.1.2)",Total,1
India,2015,11.b.2: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to  1.5.4 and 13.1.3),Total,0.901
India,2018,11.b.2: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to  1.5.4 and 13.1.3),Total,0.932
India,2019,11.b.2: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to  1.5.4 and 13.1.3),Total,0.931
India,2020,11.b.2: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to  1.5.4 and 13.1.3),Total,0.919
India,2015,12.3.1: Per capita food availability,Food Grains,169.8
India,2016,12.3.1: Per capita food availability,Food Grains,177.7
India,2017,12.3.1: Per capita food availability,Food Grains,178.4
India,2018,12.3.1: Per capita food availability,Food Grains,180.1
India,2019,12.3.1: Per capita food availability,Food Grains,179.6
India,2015-16,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.08
India,2016-17,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.11
India,2017-18,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.12
India,2018-19,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.14
India,2019-20,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.14
India,2020-21,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.12
India,2015-16,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.3
India,2016-17,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.3
India,2017-18,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.25
India,2018-19,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.25
India,2019-20,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.23
India,2020-21,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.31
India,2018,12.4.1:Whether the country has ratified international Multilateral Environmental Agreements on hazardous waste and other chemicals,Total,Yes
India,2019,12.4.1:Whether the country has ratified international Multilateral Environmental Agreements on hazardous waste and other chemicals,Total,Yes
India,2020,12.4.1:Whether the country has ratified international Multilateral Environmental Agreements on hazardous waste and other chemicals,Total,Yes
India,2017-18,"12.4.2: (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",Hazardous waste generated,201.45
India,2018-19,"12.4.2: (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",Hazardous waste generated,189.47
India,2017-18,"12.4.2: (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",Hazardous waste treated,0.51
India,2018-19,"12.4.2: (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",Hazardous waste treated,0.56
India,2020,12.5.1: Number of waste recycling plants installed,Total,829
India,2019,12.5.2: Number of Urban Local Bodies using waste segregation techniques,Total,63
India,2020,12.5.2: Number of Urban Local Bodies using waste segregation techniques,Total,76
India,2020,12.8.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 4.7.1 and 13.3.1),Policy,1
India,2020,12.8.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 4.7.1 and 13.3.1),Curricula,0.92
India,2020,12.8.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 4.7.1 and 13.3.1),Teacher Education,0.95
India,2020,12.8.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 4.7.1 and 13.3.1),Student Assessment,1
India,2015,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,63.68
India,2016,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,69.51
India,2017,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,78.73
India,2018,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,87.6
India,2019,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,93.3
India,2021,12.b.1: Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,6 Requisite TSA Core Tables,Ministry of Tourism is compiling and releasing 6 requisite TSA core tables
India,2015-16,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.22
India,2016-17,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.18
India,2017-18,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.14
India,2018-19,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.13
India,2019-20,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.19
India,2020-21,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.2
India,2015,"13.1.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 1.5.1 )",Total,14743.14
India,2016,"13.1.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 1.5.1 )",Total,13706.39
India,2017,"13.1.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 1.5.1 )",Total,13381.24
India,2018,"13.1.1: Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (similar to 11.5.1 and 1.5.1 )",Total,10738.97
India,2015,"13.1.2: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 11.b.1)",Total,0.25
India,2018,"13.1.2: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 11.b.1)",Total,0.93
India,2019,"13.1.2: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 11.b.1)",Total,1
India,2015,13.1.3: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to 11.b.2 and 1.5.4),Total,0.901
India,2018,13.1.3: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to 11.b.2 and 1.5.4),Total,0.932
India,2019,13.1.3: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to 11.b.2 and 1.5.4),Total,0.931
India,2020,13.1.3: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to 11.b.2 and 1.5.4),Total,0.919
India,2020,"13.2.1: Pre 2020 action: Achievement of pre-2020 goals as per country priority (percentage reduction in emission intensity of GDP, over 2005 level)",Total,21
India,2020,13.3.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 4.7.1),Policy,1
India,2020,13.3.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 4.7.1),Curricula,0.92
India,2020,13.3.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 4.7.1),Teacher Education,0.95
India,2020,13.3.1: Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment (similar to 12.8.1 and 4.7.1),Student Assessment,1
India,2015-16,14.1.1: Coastal Water Quality Index (CWQI),Good,2
India,2020-21,14.1.1: Coastal Water Quality Index (CWQI),Good,0
India,2015-16,14.1.1: Coastal Water Quality Index (CWQI),Moderate,7
India,2020-21,14.1.1: Coastal Water Quality Index (CWQI),Moderate,9
India,2015-16,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,64.94
India,2016-17,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,64.49
India,2017-18,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,63.77
India,2018-19,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,64.39
India,2019-20,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,65.04
India,2013-15,14.2.1: Percentage change in area under mangroves (similar to Indicator 14.5.2),Total,2.43
India,2015-17,14.2.1: Percentage change in area under mangroves (similar to Indicator 14.5.2),Total,3.82
India,2017-19,14.2.1: Percentage change in area under mangroves (similar to Indicator 14.5.2),Total,1.1
India,2020,"14.2.2: Percentage of coastal marine protected areas in relation to Territorial Seas, 2020 (Similar to 14.5.1)",Total,5.47
India,2019-20,14.3.1: Average marine acidity (pH) measured at agreed site of representative sampling stations,Less Than 8 pH,4
India,2020-21,14.3.1: Average marine acidity (pH) measured at agreed site of representative sampling stations,Less Than 8 pH,41
India,2019-20,14.3.1: Average marine acidity (pH) measured at agreed site of representative sampling stations,Greater Than 8 pH,12
India,2020-21,14.3.1: Average marine acidity (pH) measured at agreed site of representative sampling stations,Greater Than 8 pH,159
India,2015-16,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,3.078
India,2016-17,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,3.078
India,2017-18,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,5.311
India,2018-19,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,5.311
India,2019-20,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,5.311
India,2020,"14.5.1: Percentage of coastal marine protected areas in relation to Territorial Seas, 2020 (Similar to 14.2.2)",Total,5.47
India,2013-15,14.5.2: Percentage change in area under mangroves (similar to Indicator 14.2.1),Total,2.43
India,2015-17,14.5.2: Percentage change in area under mangroves (similar to Indicator 14.2.1),Total,3.82
India,2017-19,14.5.2: Percentage change in area under mangroves (similar to Indicator 14.2.1),Total,1.1
India,2019-20,"14.a.1: Allocation of budget resources (Budget Estimates) for Ocean Services, Modeling, Applications, Resources and Technology (OSMART) scheme",Total,445
India,2020-21,"14.a.1: Allocation of budget resources (Budget Estimates) for Ocean Services, Modeling, Applications, Resources and Technology (OSMART) scheme",Total,567
